"id","order","score","weight","color","label"
"0",0, 3182.9358229651066,1,"blue","MANHATTAN 101"
"1",1, 433.39543516828655,1,"blue","MANHATTAN 102"
"2",2, 1340.3676994009527,1,"blue","MANHATTAN 103"
"3",3, 3238.5967966568473,1,"blue","MANHATTAN 104"
"4",4, 2856.764444471157,1,"blue","MANHATTAN 105"
"5",5, 2683.040420114051,1,"blue","MANHATTAN 106"
"6",6, 6959.218273113636,1,"blue","MANHATTAN 107"
"7",7, 5735.230158920995,1,"blue","MANHATTAN 108"
"8",8, 10656.005876275858,1,"blue","MANHATTAN 109"
"9",9, 10858.14776271326,1,"blue","MANHATTAN 110"
"10",10, 9212.763731267667,1,"blue","MANHATTAN 111"
"11",11, 14947.117703446498,1,"blue","MANHATTAN 112"
"12",12, 11444.794230155476,1,"purple","BRONX 201"
"13",13, 12896.60737889625,1,"purple","BRONX 202"
"14",14, 14264.37768534128,1,"purple","BRONX 203"
"15",15, 13570.134932048959,1,"purple","BRONX 204"
"16",16, 15702.391330965089,1,"purple","BRONX 205"
"17",17, 16265.334030014898,1,"purple","BRONX 206"
"18",18, 18144.126101363014,1,"purple","BRONX 207"
"19",19, 19603.40584337027,1,"purple","BRONX 208"
"20",20, 15673.898447361016,1,"purple","BRONX 209"
"21",21, 20326.606745639412,1,"purple","BRONX 210"
"22",22, 18746.23572038273,1,"purple","BRONX 211"
"23",23, 21969.60259035578,1,"purple","BRONX 212"
"24",24, 4392.077589876406,1,"red","BROOKLYN 301"
"25",25, 4147.94942968557,1,"red","BROOKLYN 302"
"26",26, 6802.023954618339,1,"red","BROOKLYN 303"
"27",27, 8046.780774578772,1,"red","BROOKLYN 304"
"28",28, 11974.3416783658,1,"red","BROOKLYN 305"
"29",29, 5756.100000807111,1,"red","BROOKLYN 306"
"30",30, 8467.005042250434,1,"red","BROOKLYN 307"
"31",31, 7244.632234338351,1,"red","BROOKLYN 308"
"32",32, 8645.317939003357,1,"red","BROOKLYN 309"
"33",33, 11893.037973864653,1,"red","BROOKLYN 310"
"34",34, 13577.280685806414,1,"red","BROOKLYN 311"
"35",35, 10857.623414806998,1,"red","BROOKLYN 312"
"36",36, 16502.403348798547,1,"red","BROOKLYN 313"
"37",37, 11099.163870555618,1,"red","BROOKLYN 314"
"38",38, 15917.930386310567,1,"red","BROOKLYN 315"
"39",39, 9810.613213211474,1,"red","BROOKLYN 316"
"40",40, 10453.636102741193,1,"red","BROOKLYN 317"
"41",41, 14369.26642974824,1,"red","BROOKLYN 318"
"42",42, 9062.850047877657,1,"orange","QUEENS 401"
"43",43, 6531.2648314467015,1,"orange","QUEENS 402"
"44",44, 10545.457229794736,1,"orange","QUEENS 403"
"45",45, 10750.51436536943,1,"orange","QUEENS 404"
"46",46, 9054.336390358385,1,"orange","QUEENS 405"
"47",47, 12567.449889038275,1,"orange","QUEENS 406"
"48",48, 15894.223767945727,1,"orange","QUEENS 407"
"49",49, 17039.27062028835,1,"orange","QUEENS 408"
"50",50, 13775.340591022285,1,"orange","QUEENS 409"
"51",51, 15361.391637045814,1,"orange","QUEENS 410"
"52",52, 20388.189321740043,1,"orange","QUEENS 411"
"53",53, 18785.26024288294,1,"orange","QUEENS 412"
"54",54, 21858.004542968454,1,"orange","QUEENS 413"
"55",55, 21488.472981510567,1,"orange","QUEENS 414"
"56",56, 15442.995542843128,1,"green","StatenIsland 501"
"57",57, 19056.67969947671,1,"green","StatenIsland 502"
"58",58, 26237.500310780953,1,"green","StatenIsland 503"
